City_ID,City,Country,Max Temp,Current Description,Lat,Lon,Hotel Name
261,Ixtapa,MX,87.22,scattered clouds,20.7,-105.2,hotel la terminal
262,Fernandina Beach,US,78.89,moderate rain,30.6697,-81.4626,Hampton Inn Amelia Island at Fernandina Beach
264,Niagara Falls,CA,81.68,clear sky,43.1001,-79.0663,Sheraton Fallsview Hotel
265,Ithaca,US,79.12,clear sky,42.4406,-76.4966,Meadow Court Inn
266,Mandera,KE,78.4,overcast clouds,3.9366,41.867,Red Sea Resort & Suites Mandera County
268,Diosjeno,HU,76.35,clear sky,47.9397,19.0432,Békástó Panzió
269,Cayenne,GF,86.04,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
275,Hetauda,NP,81.75,overcast clouds,27.4284,85.0322,Regal Hetauda Resort
280,Jalu,LY,85.64,clear sky,29.0331,21.5482,صاحبة الفخامة
281,Haapiti,PF,80.33,broken clouds,-17.5667,-149.8667,Linareva Moorea Beach Resort
282,Matay,EG,87.53,clear sky,28.419,30.7792,Nag Aespen
286,Veraval,IN,83.01,overcast clouds,20.9,70.3667,Lords Inn Somnath
292,Labuhan,ID,78.53,broken clouds,-6.8844,112.2051,DoubleFAG
293,Mapiripan,CO,79.52,moderate rain,2.8892,-72.1256,Monserrate
295,Mamallapuram,IN,84.25,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
298,Bom Jesus,BR,83.37,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
302,Safaga,EG,87.42,scattered clouds,26.7292,33.9365,Lamar Resort Abu Soma
303,Bodden Town,KY,89.6,few clouds,19.2833,-81.25,Will T Place
310,Camocim,BR,79.81,broken clouds,-2.9022,-40.8411,Ilha Praia Hotel
316,Matara,LK,79.36,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
319,Clarksburg,US,88.41,few clouds,39.2807,-80.3445,Greenbrier Motel & Restaurant
325,Lorengau,PG,80.96,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
326,Pangkalanbuun,ID,75.18,light rain,-2.6833,111.6167,Grand Kecubung Hotel
332,Amberley,US,89.92,clear sky,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
336,Tiarei,PF,80.62,few clouds,-17.5333,-149.3333,Le Rocher de Tahiti
338,Morro Bay,US,84.72,clear sky,35.3658,-120.8499,Inn at Morro Bay
342,Padang,ID,75.09,broken clouds,-0.9492,100.3543,Mercure Padang
343,Puerto Ayacucho,VE,84.11,broken clouds,5.6639,-67.6236,Posada Turistica Manapiare
349,Faya,SA,75.31,light rain,18.3851,42.4509,املاك خالد الشعشوع
350,Key Largo,US,90.0,overcast clouds,25.0865,-80.4473,Bayside Inn Key Largo
352,Gat,IL,79.48,clear sky,31.61,34.7642,OlusHome
353,Ambon,ID,78.24,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
