City_ID,City,Country,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
167,Marrakesh,MA,31.6315,-8.0083,87.87,37,20,4.61,few clouds
168,Waipawa,NZ,-41.4122,175.5153,44.26,88,0,4.47,clear sky
169,Tyukhtet,RU,56.5389,89.3011,49.14,96,22,4.18,few clouds
170,Port Alfred,ZA,-33.5906,26.891,60.19,81,99,5.68,overcast clouds
171,Seymchan,RU,62.8833,152.4333,60.12,62,100,3.09,overcast clouds
172,Hambantota,LK,6.1241,81.1185,80.76,76,100,22.21,overcast clouds
173,Torata,PE,-17.0769,-70.8433,65.77,21,24,7.27,few clouds
174,Cap Malheureux,MU,-19.9842,57.6142,69.48,77,76,11.01,broken clouds
175,Hithadhoo,MV,-0.6,73.0833,82.65,77,100,9.4,overcast clouds
176,Porto Novo,BJ,6.4965,2.6036,78.62,82,15,7.18,few clouds
177,Ust-Kuyga,RU,70.0167,135.6,56.8,89,100,4.56,overcast clouds
178,Sao Felix Do Xingu,BR,-6.6447,-51.995,87.64,45,71,4.07,broken clouds
179,Roald,NO,62.5833,6.1333,62.17,77,75,8.05,broken clouds
180,Smirnykh,RU,49.75,142.8333,58.93,89,99,1.77,overcast clouds
181,Ostrovnoy,RU,68.0531,39.5131,65.43,71,20,15.12,few clouds
182,Ambatofinandrahana,MG,-20.55,46.8,43.72,96,2,4.5,clear sky
183,Grand-Santi,GF,4.25,-54.3833,82.96,70,94,1.86,overcast clouds
184,Iqaluit,CA,63.7506,-68.5145,49.73,66,100,12.66,light rain
185,Katsuura,JP,35.1333,140.3,77.23,86,100,16.42,overcast clouds
186,Hervey Bay,AU,-25.2986,152.8535,53.17,88,100,11.16,moderate rain
187,Balaipungut,ID,1.05,101.2833,74.79,88,50,1.32,scattered clouds
188,Lagoa,PT,39.05,-27.9833,64.33,71,7,13.18,clear sky
189,Thompson,CA,55.7435,-97.8558,66.36,63,20,3.44,few clouds
190,Pevek,RU,69.7008,170.3133,35.51,92,100,3.67,overcast clouds
191,Kavaratti,IN,10.5669,72.642,82.29,74,100,19.57,overcast clouds
192,Tiksi,RU,71.6872,128.8694,34.9,97,100,6.4,overcast clouds
193,Talnakh,RU,69.4865,88.3972,51.21,68,9,14.41,clear sky
194,Husavik,IS,66.0449,-17.3389,41.14,97,100,20.67,moderate rain
195,Mahebourg,MU,-20.4081,57.7,71.89,73,75,17.27,broken clouds
196,Andrews,US,32.3187,-102.5457,94.41,27,0,14.97,clear sky
197,Kathmandu,NP,27.7167,85.3167,71.82,100,40,2.3,scattered clouds
198,George Town,MY,5.4112,100.3354,83.95,86,20,1.14,few clouds
199,Hualmay,PE,-11.0964,-77.6139,65.48,73,78,10.71,broken clouds
200,Bengkulu,ID,-3.8004,102.2655,75.27,91,81,4.09,broken clouds
201,Biltine,TD,14.5333,20.9167,88.86,38,89,13.13,overcast clouds
202,Kaitangata,NZ,-46.2817,169.8464,39.38,86,11,5.97,few clouds
203,La Paz,BO,-16.5,-68.15,62.58,9,40,9.22,scattered clouds
204,Luanda,AO,-8.8368,13.2343,68.27,90,0,12.71,clear sky
205,Zhaotong,CN,27.3167,103.7167,59.68,95,8,1.28,clear sky
206,Lodja,CD,-3.4833,23.4333,78.13,44,88,1.03,overcast clouds
207,Tasiilaq,GL,65.6145,-37.6368,44.76,82,89,0.92,overcast clouds
208,Texarkana,US,33.4251,-94.0477,91.83,65,20,5.75,few clouds
209,Korla,CN,41.7597,86.1469,76.64,23,1,10.33,clear sky
210,Hofn,IS,64.2539,-15.2082,48.27,67,100,19.8,overcast clouds
211,Avarua,CK,-21.2078,-159.775,77.05,65,40,8.05,scattered clouds
212,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,87,20,13.8,few clouds
213,Nome,US,64.5011,-165.4064,65.16,82,40,9.22,scattered clouds
214,Fairbanks,US,64.8378,-147.7164,73.74,60,40,4.61,smoke
215,Chitral,PK,35.8462,71.7858,78.98,83,19,4.32,few clouds
216,Rio Gallegos,AR,-51.6226,-69.2181,37.45,56,0,10.36,clear sky
217,Katima Mulilo,NA,-17.5,24.2667,59.83,48,86,4.43,overcast clouds
218,Luderitz,NA,-26.6481,15.1594,57.27,71,0,9.78,clear sky
219,Nova Aurora,BR,-22.8667,-52.5667,75.9,43,0,7.45,clear sky
220,Upington,ZA,-28.4478,21.2561,52.18,71,0,1.14,clear sky
221,Chapulhuacan,MX,21.1667,-98.9,84.27,47,24,8.3,few clouds
222,Nantucket,US,41.2835,-70.0995,80.71,65,0,11.5,clear sky
223,Kupang,ID,-10.1667,123.5833,77.22,82,100,14.36,overcast clouds
224,Chiredzi,ZW,-21.05,31.6667,63.75,63,0,5.06,clear sky
225,San Cristobal,VE,7.7669,-72.225,80.78,71,45,6.31,light rain
226,Santiago Del Estero,AR,-27.7951,-64.2615,64.17,45,8,7.45,clear sky
227,Yinchuan,CN,38.4681,106.2731,81.91,26,81,2.37,broken clouds
228,Cockburn Town,TC,21.4612,-71.1419,85.96,70,75,18.41,broken clouds
229,Verkhnevilyuysk,RU,63.4453,120.3167,70.52,83,38,9.55,scattered clouds
230,Bow Island,CA,49.8668,-111.3684,61.81,94,100,6.91,heavy intensity rain
231,Vostok,RU,46.4856,135.8833,64.26,98,100,3.4,overcast clouds
232,Linhares,BR,-19.3911,-40.0722,69.39,76,1,5.93,clear sky
233,Beringovskiy,RU,63.05,179.3167,44.83,98,100,6.51,overcast clouds
234,Bambanglipuro,ID,-7.95,110.2833,76.15,93,14,4.0,few clouds
